stem,split,w,h,coco_w,coco_h,dim_match,channels,dtype,filesize_mb,vmin,vmax,mean,logmean,p0.1,p1,p5,p25,p50,p75,p95,p99,p99.9,p99.99,frac_zero,frac_neg,frac_nonfinite,frac_at_ceil,frac_ge_254,frac_lt_1,frac_lt_0p01,dr_decades,mean_R,mean_G,mean_B,min_nonzero,pop,res,whiteLuminance,LUMINANCE,FILE_NAME,source
hdr_00000,train,1920,1080,1920,1080,1,3,float32,7.82,0.0001000165939331,255.0,36.26137924194336,3.3988146781921387,0.0001000165939331,0.0001000165939331,0.11090087890625,0.6376953125,1.556640625,19.140625,207.75,215.125,220.125,235.625,0.0,0.0,0.0,3.102494855967078e-05,3.359696502057613e-05,0.3699461484053498,0.0272333140432098,6.342597308418201,37.05192565917969,34.1026611328125,37.62957763671875,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
hdr_00001,train,1920,1080,1920,1080,1,3,float32,7.67,0.0001000165939331,255.0,36.33656311035156,3.424456834793091,0.0001000165939331,0.0001000165939331,0.1243896484375,0.62548828125,1.5556640625,19.25,207.875,215.125,220.125,235.0,0.0,0.0,0.0,3.18287037037037e-05,3.407921810699589e-05,0.370644933127572,0.0243923611111111,6.342597308418201,37.12279891967773,34.17607116699219,37.71083831787109,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
hdr_00002,train,1920,1080,1920,1080,1,3,float32,7.73,0.0001000165939331,255.0,36.41806411743164,3.432530879974365,0.0001000165939331,0.0001000165939331,0.12274169921875,0.62744140625,1.55859375,19.390625,207.875,215.125,220.25,236.625,0.0,0.0,0.0,3.3436213991769545e-05,3.5525977366255144e-05,0.3706171231995884,0.0246420074588477,6.342843856526953,37.20587539672852,34.25515365600586,37.793094635009766,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
hdr_00003,train,1920,1080,1920,1080,1,3,float32,7.72,0.0001000165939331,255.0,36.44828414916992,3.442025899887085,0.0001000165939331,0.0001000165939331,0.12249755859375,0.6259765625,1.5595703125,19.484375,207.75,215.125,220.125,236.25,0.0,0.0,0.0,3.3436213991769545e-05,3.60082304526749e-05,0.3699255722736626,0.0248077417695473,6.342597308418201,37.23667144775391,34.280757904052734,37.82741165161133,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
hdr_00004,train,1920,1080,1920,1080,1,3,float32,7.72,0.0001000165939331,255.0,36.45015335083008,3.4483604431152344,0.0001000165939331,0.0001000165939331,0.122802734375,0.62744140625,1.5625,19.484375,207.75,214.875,220.25,236.86501249996945,0.0,0.0,0.0,3.536522633744856e-05,3.793724279835391e-05,0.3697720550411522,0.0243428497942386,6.342843856526953,37.23571014404297,34.28219985961914,37.83258056640625,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
hdr_00005,train,1920,1080,1920,1080,1,3,float32,7.71,0.0001000165939331,255.0,36.42814636230469,3.439908981323242,0.0001000165939331,0.0001000165939331,0.12255859375,0.6259765625,1.5673828125,19.46875,207.75,214.875,220.25,237.125,0.0,0.0,0.0,3.39184670781893e-05,3.616898148148148e-05,0.3695717592592593,0.0249940522119341,6.342843856526953,37.20932388305664,34.261085510253906,37.8139877319336,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
hdr_00006,train,1920,1080,1920,1080,1,3,float32,7.74,0.0001000165939331,255.0,36.35045623779297,3.438750028610229,0.0001000165939331,0.0001000165939331,0.122314453125,0.6259765625,1.5634765625,19.40625,207.5,214.625,220.0,236.75,0.0,0.0,0.0,1.6075102880658437e-07,3.649048353909465e-05,0.3697677147633745,0.0248201195987654,6.342350620265074,37.12165069580078,34.19282150268555,37.73688125610352,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
hdr_00007,train,1920,1080,1920,1080,1,3,float32,7.72,0.0001000165939331,255.0,36.40663528442383,3.444352626800537,0.0001000165939331,0.0001000165939331,0.12255859375,0.62646484375,1.5615234375,19.328125,207.75,215.0,220.25,236.0,0.0,0.0,0.0,3.4561471193415635e-05,3.793724279835391e-05,0.3703933577674897,0.0249737975823045,6.342843856526953,37.18206024169922,34.24248504638672,37.79529571533203,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
hdr_00008,train,1920,1080,1920,1080,1,3,float32,7.73,0.0001000165939331,255.0,36.353271484375,3.438941717147827,0.0001000165939331,0.0001000165939331,0.12249755859375,0.6259765625,1.5634765625,19.25,207.875,215.0,220.5,237.125,0.0,0.0,0.0,3.649048353909465e-05,3.809799382716049e-05,0.3704655349794238,0.025250128600823,6.343336533246725,37.12691879272461,34.186912536621094,37.74602508544922,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
hdr_00009,train,1920,1080,1920,1080,1,3,float32,7.73,0.0001000165939331,255.0,36.27435302734375,3.4302945137023926,0.0001000165939331,0.0001000165939331,0.122314453125,0.62548828125,1.5673828125,19.109375,207.75,214.875,220.625,236.625,0.0,0.0,0.0,3.616898148148148e-05,3.841949588477367e-05,0.3702073688271605,0.0253883744855967,6.343582662174765,37.0439338684082,34.11555480957031,37.66358947753906,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
hdr_00010,train,1920,1080,1920,1080,1,3,float32,7.73,0.0001000165939331,255.0,36.19887161254883,3.4154748916625977,0.0001000165939331,0.0001000165939331,0.12237548828125,0.625,1.5654296875,18.953125,207.875,215.0,220.625,236.625,0.0,0.0,0.0,3.4561471193415635e-05,3.777649176954733e-05,0.3696839634773662,0.025275045010288,6.343582662174765,36.96882629394531,34.04226303100586,37.58552551269531,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
hdr_00011,test,1920,1080,1920,1080,1,3,float32,7.73,0.0001000165939331,255.0,36.04738998413086,3.4080255031585693,0.0001000165939331,0.0001000165939331,0.12249755859375,0.62451171875,1.564453125,18.765625,207.375,214.625,220.125,236.625,0.0,0.0,0.0,1.6075102880658437e-07,3.777649176954733e-05,0.3700200938786008,0.0246712641460905,6.342597308418201,36.81964111328125,33.89870834350586,37.4238166809082,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
hdr_00012,train,1920,1080,1920,1080,1,3,float32,7.74,0.0001000165939331,255.0,35.89530563354492,3.3891189098358154,0.0001000165939331,0.0001000165939331,0.121826171875,0.6240234375,1.5634765625,18.5625,207.25,214.5,219.75,236.125,0.0,0.0,0.0,1.6075102880658437e-07,3.60082304526749e-05,0.3698922968106996,0.0258772183641975,6.341856823188676,36.665626525878906,33.7537841796875,37.26655960083008,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
hdr_00013,train,1920,1080,1920,1080,1,3,float32,7.75,0.0001000165939331,255.0,35.74700164794922,3.369042158126831,0.0001000165939331,0.0001000165939331,0.1212158203125,0.619140625,1.5576171875,18.3125,207.25,214.625,219.75,236.375,0.0,0.0,0.0,1.6075102880658437e-07,3.69727366255144e-05,0.3705933320473251,0.0259011702674897,6.341856823188676,36.51265335083008,33.61642074584961,37.11198043823242,0.0001000165939331,A: max=255,1920x1080,,,,S1: no metadata
