filename,score,kept
hdr_00000.exr,,1
hdr_00001.exr,0.995974,0
hdr_00002.exr,0.989064,0
hdr_00003.exr,0.982803,0
hdr_00004.exr,0.980126,0
hdr_00005.exr,0.979025,0
hdr_00006.exr,0.978321,0
hdr_00007.exr,0.977663,0
hdr_00008.exr,0.977468,0
hdr_00009.exr,0.977613,0
hdr_00010.exr,0.977837,0
hdr_00011.exr,0.977295,0
hdr_00012.exr,0.976119,0
hdr_00013.exr,0.975082,0
hdr_00014.exr,0.974050,0
hdr_00015.exr,0.971495,0
hdr_00016.exr,0.969772,0
hdr_00017.exr,0.968496,0
hdr_00018.exr,0.968368,0
hdr_00019.exr,0.969171,0
hdr_00020.exr,0.968010,0
hdr_00021.exr,0.967006,0
hdr_00022.exr,0.965822,0
hdr_00023.exr,0.964431,0
hdr_00024.exr,0.963189,0
hdr_00025.exr,0.962121,0
hdr_00026.exr,0.960593,0
hdr_00027.exr,0.961249,0
hdr_00028.exr,0.961279,0
hdr_00029.exr,0.960380,0
hdr_00030.exr,0.961419,0
hdr_00031.exr,0.962795,0
hdr_00032.exr,0.963606,0
hdr_00033.exr,0.962565,0
hdr_00034.exr,0.959593,0
hdr_00035.exr,0.955619,0
hdr_00036.exr,0.950240,0
hdr_00037.exr,0.944141,0
hdr_00038.exr,0.937223,0
hdr_00039.exr,0.931021,0
hdr_00040.exr,0.926276,0
hdr_00041.exr,0.922541,0
hdr_00042.exr,0.920430,0
hdr_00043.exr,0.917990,1
hdr_00044.exr,0.998187,0
hdr_00045.exr,0.994659,0
hdr_00046.exr,0.989259,0
hdr_00047.exr,0.981070,0
hdr_00048.exr,0.972197,0
hdr_00049.exr,0.963359,0
hdr_00050.exr,0.954916,0
hdr_00051.exr,0.945799,0
hdr_00052.exr,0.937380,0
hdr_00053.exr,0.929909,0
hdr_00054.exr,0.923120,0
hdr_00055.exr,0.917698,1
hdr_00056.exr,0.998552,0
hdr_00057.exr,0.996661,0
hdr_00058.exr,0.994269,0
hdr_00059.exr,0.991711,0
hdr_00060.exr,0.989098,0
hdr_00061.exr,0.985327,0
hdr_00062.exr,0.979893,0
hdr_00063.exr,0.972618,0
hdr_00064.exr,0.964317,0
hdr_00065.exr,0.954907,0
hdr_00066.exr,0.943862,0
hdr_00067.exr,0.935225,0
hdr_00068.exr,0.927920,0
hdr_00069.exr,0.920835,0
hdr_00070.exr,0.913917,1
hdr_00071.exr,0.996250,0
hdr_00072.exr,0.990799,0
hdr_00073.exr,0.983935,0
hdr_00074.exr,0.977672,0
hdr_00075.exr,0.971189,0
hdr_00076.exr,0.964207,0
hdr_00077.exr,0.957263,0
hdr_00078.exr,0.949885,0
hdr_00079.exr,0.942058,0
hdr_00080.exr,0.935185,0
hdr_00081.exr,0.930393,0
hdr_00082.exr,0.926343,0
hdr_00083.exr,0.922796,0
hdr_00084.exr,0.919984,1
hdr_00085.exr,0.997597,0
hdr_00086.exr,0.994511,0
hdr_00087.exr,0.990683,0
hdr_00088.exr,0.986408,0
hdr_00089.exr,0.981676,0
hdr_00090.exr,0.976187,0
hdr_00091.exr,0.972585,0
hdr_00092.exr,0.968915,0
hdr_00093.exr,0.964838,0
hdr_00094.exr,0.960616,0
hdr_00095.exr,0.955981,0
hdr_00096.exr,0.950129,0
hdr_00097.exr,0.946025,0
hdr_00098.exr,0.941731,0
